City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
239,severo-yeniseyskiy,60.3725,93.0408,8.1,98,57,1.34,RU,1717982915
240,tromso,69.6496,18.957,9.01,81,2,4.63,NO,1717982914
241,al ghayzah,16.2079,52.176,29.31,84,5,1.76,YE,1717982915
242,esperantinopolis,-4.8667,-44.7083,27.07,67,97,0.98,BR,1717982916
243,akjoujt,19.6969,-14.4164,32.48,18,28,5.07,MR,1717982916
244,campbell river,50.0163,-125.2446,22.17,43,75,2.06,CA,1717982833
245,khemisset,33.6667,-6.25,17.54,78,100,0.33,MA,1717982916
246,san pedro,14.35,121.0167,30.22,78,75,2.24,PH,1717982762
247,amga,60.8953,131.9608,22.69,34,12,0.85,RU,1717982916
248,jabor,5.921,169.6434,28.81,77,24,6.1,MH,1717982916
249,skovorodino,53.9833,123.9167,20.93,39,100,1.52,RU,1717982916
250,pacific grove,36.6177,-121.9166,14.69,82,100,5.66,US,1717982917
251,chipinge,-20.1883,32.6236,9.14,90,63,1.65,ZW,1717982917
252,vicente noble,18.3844,-71.1801,26.31,83,100,1.71,DO,1717982917
253,selfoss,63.9331,-20.9971,6.14,72,1,2.63,IS,1717982917
254,santa marta,11.2408,-74.199,29.03,84,75,2.57,CO,1717982799
255,christchurch,-43.5333,172.6333,10.76,80,100,6.69,NZ,1717982638
256,el granada,37.5027,-122.4694,15.61,75,75,10.29,US,1717982917
257,mathis,28.0945,-97.828,29.9,75,0,7.22,US,1717982918
258,al bawiti,28.3492,28.8659,23.92,41,0,2.31,EG,1717982918
259,amalapuram,16.5833,82.0167,28.75,69,84,1.03,IN,1717982918
260,fayzabad,37.1166,70.58,19.64,48,5,2.08,AF,1717982918
261,marine corps base hawaii - mcbh,21.4453,-157.7513,28.21,60,75,5.14,US,1717982918
262,al-hamdaniya,36.2715,43.3737,29.8,19,3,3.84,IQ,1717982918
263,lukuledi,-10.5667,38.8,19.73,73,99,4.19,TZ,1717982918
264,la ronge,55.1001,-105.2842,12.14,62,40,3.09,CA,1717982826
265,sinabang,2.4803,96.3801,27.23,79,95,1.22,ID,1717982794
266,mejit,10.2753,170.8646,28.41,79,100,7.15,MH,1717982689
267,enriquillo,17.9,-71.2333,25.22,87,100,3.41,DO,1717982919
268,barpali,21.2,83.5833,32.89,42,23,1.98,IN,1717982919
269,weno,7.4515,151.8468,28.97,84,100,1.54,FM,1717982919
270,mossel bay,-34.1831,22.146,7.96,75,6,2.63,ZA,1717982919
271,ar ruways,24.1103,52.7306,31.3,65,0,5.89,AE,1717982920
272,namdrik,5.5994,168.1028,28.82,74,9,7.32,MH,1717982920
273,pagar alam,-4.0167,103.2667,22.54,94,100,0.3,ID,1717982920
274,tura,25.5198,90.2201,26.95,88,6,1.62,IN,1717982838
275,fukuecho,32.6881,128.8419,22.2,83,75,3.09,JP,1717982920
276,north bend,43.4065,-124.2243,14.51,82,100,9.26,US,1717982920
277,novodvinsk,64.4165,40.8122,7.1,88,6,2.91,RU,1717982713
278,brokopondo,4.75,-55.1667,26.27,83,100,2.78,SR,1717982920
279,itoman,26.1247,127.6694,26.08,85,75,2.57,JP,1717982921
280,kajaani,64.2273,27.7285,9.03,93,20,2.06,FI,1717982921
281,robore,-18.3333,-59.75,23.21,39,1,2.47,BO,1717982921
282,sao paulo de olivenca,-3.3783,-68.8725,23.5,98,100,0.36,BR,1717982921
283,luis correia,-2.8792,-41.6669,25.59,89,100,3.15,BR,1717982921
284,mahajanga,-15.7167,46.3167,20.01,68,0,1.54,MG,1717982921
285,qoryooley,1.7878,44.53,24.46,83,64,6.81,SO,1717982922
286,nar'yan-mar,67.6713,53.087,1.73,87,100,4.47,RU,1717982922
287,margate,51.3813,1.3862,12.41,77,100,2.24,GB,1717982697
288,hsinchu,24.8036,120.9686,29.87,76,100,2.24,TW,1717982922
289,ola,59.5833,151.2833,8.97,85,99,2.18,RU,1717982668
290,vernon,50.2581,-119.2691,23.84,32,100,3.13,CA,1717982739
291,kabalo,-6.05,26.9167,19.3,51,2,2.38,CD,1717982922
292,grand falls-windsor,48.9332,-55.6649,12.5,88,97,2.53,CA,1717982923
293,kenai,60.5544,-151.2583,15.1,51,0,6.17,US,1717982680
